"filename", "language", "JavaScript", "XML", "SCSS", "JavaScript JSX", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\JOHN\macgroup-\README.md", "Markdown", 0, 0, 0, 0, 0, 38, 0, 0, 0, 33, 71
"c:\Users\JOHN\macgroup-\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 81560, 0, 0, 1, 81561
"c:\Users\JOHN\macgroup-\package.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 69
"c:\Users\JOHN\macgroup-\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\JOHN\macgroup-\public\AssetsFolder\illustrations\arrow.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\JOHN\macgroup-\public\AssetsFolder\illustrations\grids-dark.svg", "XML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\JOHN\macgroup-\public\AssetsFolder\illustrations\grids.svg", "XML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 1, 21
"c:\Users\JOHN\macgroup-\public\AssetsFolder\illustrations\quadrant.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\JOHN\macgroup-\public\Logo.svg", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\JOHN\macgroup-\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 31, 5, 3, 39
"c:\Users\JOHN\macgroup-\public\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\JOHN\macgroup-\public\svgs\Frame 18.svg", "XML", 0, 75, 0, 0, 0, 0, 0, 0, 0, 1, 76
"c:\Users\JOHN\macgroup-\public\svgs\FrameEdit.svg", "XML", 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\JOHN\macgroup-\public\svgs\Rectangle 30.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\JOHN\macgroup-\public\svgs\hero-circle.svg", "XML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\JOHN\macgroup-\src\App.css", "CSS", 0, 0, 0, 0, 29, 0, 0, 0, 0, 7, 36
"c:\Users\JOHN\macgroup-\src\App.js", "JavaScript", 78, 0, 0, 0, 0, 0, 0, 0, 6, 11, 95
"c:\Users\JOHN\macgroup-\src\Components\Brand\Brand.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 3, 8, 100
"c:\Users\JOHN\macgroup-\src\Components\Brand\Brand.scss", "SCSS", 0, 0, 316, 0, 0, 0, 0, 0, 2, 60, 378
"c:\Users\JOHN\macgroup-\src\Components\Brief\Brief.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 0, 1, 3, 62
"c:\Users\JOHN\macgroup-\src\Components\Brief\Brief.scss", "SCSS", 0, 0, 295, 0, 0, 0, 0, 0, 3, 41, 339
"c:\Users\JOHN\macgroup-\src\Components\Companies\Companies.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 1, 3, 41
"c:\Users\JOHN\macgroup-\src\Components\Companies\Companies.scss", "SCSS", 0, 0, 71, 0, 0, 0, 0, 0, 0, 10, 81
"c:\Users\JOHN\macgroup-\src\Components\Contact\Contact.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\JOHN\macgroup-\src\Components\Contact\ContactMain.js", "JavaScript", 280, 0, 0, 0, 0, 0, 0, 0, 10, 31, 321
"c:\Users\JOHN\macgroup-\src\Components\Contact\ContactMain.scss", "SCSS", 0, 0, 188, 0, 0, 0, 0, 0, 9, 21, 218
"c:\Users\JOHN\macgroup-\src\Components\Contact\ContactPr.js", "JavaScript", 168, 0, 0, 0, 0, 0, 0, 0, 1, 15, 184
"c:\Users\JOHN\macgroup-\src\Components\Contact\ContactPr.scss", "SCSS", 0, 0, 187, 0, 0, 0, 0, 0, 1, 22, 210
"c:\Users\JOHN\macgroup-\src\Components\Copy\Copy.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"c:\Users\JOHN\macgroup-\src\Components\Copy\Copy.scss", "SCSS", 0, 0, 201, 0, 0, 0, 0, 0, 1, 43, 245
